year,region,state,eu,total_hp,n_vessels,tuna,sardine,shrimp,others,treated,subsidy_pesos,n_times_sub,subsidy_frequency,always,sometimes,never,mean_diesel_price_mxn_l,nino34_m,hours,fg_area_km,fg_hours,landed_weight
2011,GoC,Baja california,0203012125,475,1,0,0,1,0,0,0,0,never,0,0,1,12.993852556374192,27.41,19.233333333333327,14.641191579635203,19.233333333333334,NA
2011,GoC,Baja california,0203014741,373,1,0,0,1,0,1,448961.64805651864,9,always,1,0,0,12.993852556374192,27.41,32.583333333333336,23.58998405936837,31.583333333333332,NA
2011,GoC,Baja california,0207000092,868,2,0,0,1,0,1,1476919.567844462,4,sometimes,0,1,0,12.993852556374192,27.41,3763.3999999999996,3080.7389246105704,3036.3166666666666,36736
2011,GoC,Baja california,0207001926,1872,3,0,0,1,0,1,1686891.2654416268,9,always,1,0,0,12.993852556374192,27.41,4253.183333333334,4044.2537293276814,3688.2166666666667,49731.6
2011,GoC,Baja california,0313000036,365,1,0,0,1,0,0,0,0,never,0,0,1,12.993852556374192,27.41,68.01666666666665,98.41058262771358,65.01666666666667,NA
2011,GoC,Baja california,2507002232,425,1,0,0,1,0,1,15330.39773851527,5,sometimes,0,1,0,12.993852556374192,27.41,617.1333333333333,641.9162617346256,554.4333333333334,13806
2011,GoC,Baja california sur,0305000242,365,1,0,0,1,0,1,328508.5229681844,7,sometimes,0,1,0,12.993852556374192,27.41,505.0666666666668,892.1811826835459,466.03333333333336,11094
2011,GoM,Campeche,0401002423,402,1,0,0,1,0,1,2751204.1284380495,1,sometimes,0,1,0,12.993852556374192,27.41,815.183333333333,766.9428178719297,562.4,45747
2011,GoM,Campeche,0401002472,5480,13,0,0,1,0,1,9292465.837780537,9,always,1,0,0,12.993852556374192,27.41,23152.933333333334,16690.43505668502,15674.699999999999,397136
2011,GoM,Campeche,0401002480,1002,2,0,0,1,0,1,2691579.831519324,9,always,1,0,0,12.993852556374192,27.41,2755.3499999999995,2138.6561743800557,1964.0166666666664,114447
2011,GoM,Campeche,0401002613,1640,3,0,0,1,0,1,2953017.864381504,9,always,1,0,0,12.993852556374192,27.41,2977.8333333333335,1962.3884902610307,1624.2166666666667,103277
2011,GoM,Campeche,0401002654,1689,4,0,0,1,0,1,1167628.7934699166,9,always,1,0,0,12.993852556374192,27.41,6678.883333333335,3191.8822471056974,3842.366666666667,90467
2011,GoM,Campeche,0401002662,2514,6,0,0,1,0,1,4120044.392225979,9,always,1,0,0,12.993852556374192,27.41,13497.050000000001,5262.8837518823175,7462.25,262951
2011,GoM,Campeche,0401002837,1409,3,0,0,1,0,1,1259227.9199575454,9,always,1,0,0,12.993852556374192,27.41,4515.75,1801.7243864558397,2497.1499999999996,92973
2011,GoM,Campeche,0401002860,2250,5,0,0,1,0,1,3197975.71967478,9,always,1,0,0,12.993852556374192,27.41,7713.633333333332,4028.0641297842412,3996.0833333333335,134932
2011,GoM,Campeche,0401002894,365,1,0,0,1,0,1,547514.204946974,9,always,1,0,0,12.993852556374192,27.41,891.45,924.5708469492373,543.05,8945
2011,GoM,Campeche,0401002902,402,1,0,0,1,0,1,1409794.3263179632,9,always,1,0,0,12.993852556374192,27.41,1576.933333333332,1032.6974675095908,890.5666666666666,61893
2011,GoM,Campeche,0401002910,1095,3,0,0,1,0,1,1965685.498600626,9,always,1,0,0,12.993852556374192,27.41,4464.783333333333,2537.0554297332715,2969.5,63185
2011,GoM,Campeche,0401002928,868,2,0,0,1,0,1,1108716.2650176222,7,sometimes,0,1,0,12.993852556374192,27.41,2728.85,2414.6775658988377,1918.6166666666668,48466
2011,GoM,Campeche,0401002944,365,1,0,0,1,0,1,1240229.1770458855,9,always,1,0,0,12.993852556374192,27.41,1859.4000000000003,648.1064697056718,1197.8166666666666,46197
2011,GoM,Campeche,0401002951,402,1,0,0,1,0,1,801013.2818374229,9,always,1,0,0,12.993852556374192,27.41,1761.5333333333335,826.9073600183884,1046.7,20637
2011,GoM,Campeche,0401002969,1043,2,0,0,1,0,1,1409794.3263179632,9,always,1,0,0,12.993852556374192,27.41,3339.9999999999977,1448.2827666841144,1948.5,40756
2011,GoM,Campeche,0401002977,402,1,0,0,1,0,1,711713.7150105714,8,sometimes,0,1,0,12.993852556374192,27.41,1977.883333333333,1030.1964617187396,1176.4166666666667,19111
2011,GoM,Campeche,0401002985,1205,3,0,0,1,0,0,0,8,sometimes,0,1,0,12.993852556374192,27.41,6304.899999999998,3283.6214886102525,4072.583333333333,111910
2011,GoM,Campeche,0401002993,365,1,0,0,1,0,1,711713.7150105714,6,sometimes,0,1,0,12.993852556374192,27.41,701.6499999999995,765.0706751491571,456.9833333333333,17050
2011,GoM,Campeche,0401003132,740,2,0,0,1,0,1,1176060.5122261,8,sometimes,0,1,0,12.993852556374192,27.41,2075.95,1530.1046061176053,1246.7666666666667,27190
2011,GoM,Campeche,0401003165,420,1,0,0,1,0,1,602265.6254416713,9,always,1,0,0,12.993852556374192,27.41,2002.9833333333333,829.5664517087947,1209.7166666666667,49653
2011,GoM,Campeche,0401003512,380,1,0,0,1,0,1,547514.204946974,9,always,1,0,0,12.993852556374192,27.41,1281.516666666667,911.3277874867322,782.4333333333334,16529
2011,GoM,Campeche,0401003637,500,1,0,0,1,0,1,756938.3883391914,9,always,1,0,0,12.993852556374192,27.41,1879.7,1080.7263681969696,1426.3666666666666,51509
2011,GoM,Campeche,0401004429,365,1,0,0,1,0,1,547514.204946974,9,always,1,0,0,12.993852556374192,27.41,1594.1666666666667,1070.8638291942157,1050.4166666666667,15499
2011,GoM,Campeche,0401004478,925,2,0,0,1,0,1,583102.6282685272,9,always,1,0,0,12.993852556374192,27.41,3740.300000000001,1648.0397670401808,2367.0166666666664,41555
2011,GoM,Campeche,0401004486,1365,3,0,0,1,0,1,620114.5885229427,9,always,1,0,0,12.993852556374192,27.41,3770.9999999999995,2386.8217900341756,2248.983333333333,32493
2011,GoM,Campeche,0401004502,815,2,0,0,1,0,1,1331609.2978515353,9,always,1,0,0,12.993852556374192,27.41,4117.516666666667,2123.6619807127227,2510.7833333333333,51742
2011,GoM,Campeche,0401005012,1684,4,0,0,1,0,1,3940842.9929468343,9,always,1,0,0,12.993852556374192,27.41,7552.949999999998,3348.9876080340428,4385.166666666666,187744
2011,GoM,Campeche,0401005384,432,1,0,0,1,0,1,756938.3883391914,9,always,1,0,0,12.993852556374192,27.41,1641.0333333333333,661.305571798072,997.9333333333334,28199
2011,GoM,Campeche,0401006093,540,1,0,0,1,0,1,698080.6113073918,9,always,1,0,0,12.993852556374192,27.41,2433.116666666666,777.2145540441212,1350.9166666666667,44206
2011,GoM,Campeche,0402004618,885,2,0,0,1,0,1,1934148.68039568,3,sometimes,0,1,0,12.993852556374192,27.41,3230.783333333333,1655.5717124279713,2088.2,85858
2011,GoM,Campeche,0402005276,1425,3,0,0,1,0,1,1372891.868904537,9,always,1,0,0,12.993852556374192,27.41,3350.383333333334,2040.1694740427758,2126.4333333333334,86629
2011,GoM,Campeche,0402006282,365,1,0,0,1,0,1,620114.5885229427,9,always,1,0,0,12.993852556374192,27.41,1447.0833333333328,796.6911124745396,829.1666666666666,23387
2011,GoM,Campeche,0402006522,400,1,0,0,1,0,0,0,7,sometimes,0,1,0,12.993852556374192,27.41,1492.6666666666674,697.0566276466068,1046.6666666666665,26781
2011,GoM,Campeche,2305000495,365,1,0,0,1,0,1,410635.6537102304,2,sometimes,0,1,0,12.993852556374192,27.41,872.3333333333333,975.2585699947205,654.1833333333334,27068
2011,GoM,Campeche,2306001112,400,1,0,0,1,0,1,680286.3996466151,7,sometimes,0,1,0,12.993852556374192,27.41,1122.1000000000004,514.1483169189563,576.6999999999999,9722
2011,GoM,Campeche,2808000489,1589,4,0,0,1,0,1,3219383.525088207,9,always,1,0,0,12.993852556374192,27.41,4091.0333333333338,4744.273664951162,2987.95,160110
2011,GoM,Campeche,2808004739,402,1,0,0,1,0,1,711713.7150105714,9,always,1,0,0,12.993852556374192,27.41,1579.2499999999998,1175.9689263931466,979.4166666666666,23370
2011,Pacific,Chiapas,0705002988,220,1,0,0,1,0,1,596735.7319717068,4,sometimes,0,1,0,12.993852556374192,27.41,1426.0000000000002,1737.5753350483753,1147.3,13111
2011,Pacific,Chiapas,0705003143,305,1,0,0,1,0,1,487013.8853003333,1,sometimes,0,1,0,12.993852556374192,27.41,1890.283333333334,2030.8364279895547,1528.6833333333334,7818
2011,GoC,Nayarit,1802000420,365,1,0,0,1,0,1,492762.78445227654,3,sometimes,0,1,0,12.993852556374192,27.41,2127.833333333333,2068.97539474165,1809.6333333333332,42823
2011,GoC,Nayarit,1802001287,365,1,0,0,1,0,0,0,0,never,0,0,1,12.993852556374192,27.41,49.86666666666667,59.70252575961625,44.9,NA
2011,GoC,Nayarit,1802002764,365,1,0,0,1,0,0,0,0,never,0,0,1,12.993852556374192,27.41,855.7166666666664,1750.4947577347377,793.5333333333333,NA
2011,GoC,Nayarit,1802003614,402,1,0,0,1,0,0,0,0,never,0,0,1,12.993852556374192,27.41,1303.7499999999995,1090.5264195196498,1180.0666666666666,NA
2011,Pacific,Oaxaca,2005000217,835,2,0,0,1,0,1,1411354.7418020621,8,sometimes,0,1,0,12.993852556374192,27.41,3485.866666666666,3099.194365222761,2600.5,47816
2011,Pacific,Oaxaca,2005000282,380,1,0,0,1,0,1,1734234.8187433914,8,sometimes,0,1,0,12.993852556374192,27.41,1030.8000000000002,2170.2845014733084,870.6666666666667,28570
2011,Pacific,Oaxaca,2005000399,365,1,0,0,1,0,1,615953.4805653457,8,sometimes,0,1,0,12.993852556374192,27.41,758.3833333333334,1062.532279043704,471,39942
2011,Pacific,Oaxaca,2005000779,365,1,0,0,1,0,1,540998.785908105,5,sometimes,0,1,0,12.993852556374192,27.41,1635.5999999999995,2071.415769106956,1304.55,26028
2011,Pacific,Oaxaca,2005002585,2205,6,0,0,1,0,1,3425878.507483958,8,sometimes,0,1,0,12.993852556374192,27.41,8978.416666666664,8418.146268085837,6064.45,208443
2011,Pacific,Oaxaca,2005002809,2745,7,0,0,1,0,1,3473293.237632366,8,sometimes,0,1,0,12.993852556374192,27.41,11448.399999999998,11267.286345171819,7877.733333333334,211059
2011,Pacific,Oaxaca,2005003005,343,1,0,0,1,0,1,369572.0883392074,8,sometimes,0,1,0,12.993852556374192,27.41,303.1833333333334,834.4510057545539,262.56666666666666,20710
2011,Pacific,Oaxaca,2005003559,370,1,0,0,1,0,1,191629.9717314409,1,sometimes,0,1,0,12.993852556374192,27.41,942.0500000000002,1360.0589115778662,782.05,8160
