outcome,var,mean,sd
hours,Overall,1139438.0925925928,152922.43602144788
hours,Subsidized,1051665.0833333335,153072.90478246452
hours,Subsidy_Attributable,304247.1853069172,44284.060738429194
hours,Pct_Attributable,0.26729407123842697,0.017124259347482705
live_weight,Overall,24998658.83088889,2306950.9726358536
live_weight,Subsidized,23966437.878000002,2572703.676873078
live_weight,Subsidy_Attributable,9883808.856517471,1060988.3502969374
live_weight,Pct_Attributable,0.3956456950788458,0.025497009229346067
hours,Reduction_10pct,15248.754311299375,NA
hours,Reduction_30pct,50734.606105996194,NA
hours,Reduction_50pct,96349.91971026357,NA
hours,Reduction_90pct,287388.0797792753,NA
live_weight,Reduction_10pct,495875.53894922714,NA
live_weight,Reduction_30pct,1637649.5352188724,NA
live_weight,Reduction_50pct,3079830.7239278047,NA
live_weight,Reduction_90pct,8790129.231927665,NA
