"","eu_rnpa","economic_unit","vessel_rnpa","vessel_name","owner_rnpa","owner_name","hull_identifier","home_port","construction_year","hull_material","preservation_system","gear_type","detection_gear","vessel_type","vessel_length_m","vessel_beam_m","vessel_height_m","vessel_draft_m","vessel_gross_tonnage","captain_num","engineer_num","s_fisher_num","engine_power_hp","engine_power_bin_hp","design_speed_kt"
"1","2005002809","PESQUERA PERLA DE SALINA CRUZ SA DE CV","00040360","PERLA1","2005002809","PESQUERA PERLA DE SALINA CRUZ SA DE CV","20031541238","SALINA CRUZ","1980","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","21.9","6900","3.27","3000","20","1","1","0",365,365,10.8055722873817
"2","0203016316","TUNIPESCA SA DE CV","00046722","RAMBLER","0203016316","TUNIPESCA SA DE CV","2011278235","ENSENADA","1977","ACERO","HIELO | REFRIGERACIÓN","PALANGRE","ECOSONDA | SONAR | VIDEOSONDA","COMERCIAL","14.3","4.4","2.5","0","20","1","1","0",250,250,10.7041757419871
"3","2005002809","PESQUERA PERLA DE SALINA CRUZ SA DE CV","00039156","PERLA2","2005002809","PESQUERA PERLA DE SALINA CRUZ SA DE CV","20031487236","SALINA CRUZ","1985","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","22.4","6500","3.9","3","25","1","1","0",365,365,10.8055722873817
"4","2604006110","INVERSIONES BACOCHIBAMPO, S.A. DE C.V.","00025791","RENE","2604006110","INVERSIONES BACOCHIBAMPO, S.A. DE C.V.","26020050234","GUAYMAS","1958","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","20.45","6.1","3.23","3","58.6","1","1","1",402,402,10.8380754339523
"5","2604008447","PESQUERA SAGUI SA DE CV","00022541","VERONICA","2604008447","PESQUERA SAGUI SA DE CV","26020128234","GUAYMAS","1979","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","21.22","6.6","3.6","3","20","1","1","0",425,425,10.8582506253683
"6","2604008447","PESQUERA SAGUI SA DE CV","00022533","TALISMAN","2604008447","PESQUERA SAGUI SA DE CV","26020129233","GUAYMAS","1980","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","19.28","6.05","3.5","3","20","1","1","0",425,425,10.8582506253683
"7","2604008447","PESQUERA SAGUI SA DE CV","00020248","CARLOSM","2604008447","PESQUERA SAGUI SA DE CV","26020130237","GUAYMAS","1974","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","22.75","6.9","3.5","3","20","1","1","0",425,425,10.8582506253683
"8","2604011409","GEOMAR PESQUERA SA DE CV","00024166","GEOMAR5","2604011409","GEOMAR PESQUERA SA DE CV","2602013123-8","GUAYMAS","1978","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","20.74","5.93","2.86","2","15","1","1","1",425,425,10.8582506253683
"9","2604009809","PESQUERA MAUCER SA DE CV","00038810","CAPITANCORTEZ","2604009809","PESQUERA MAUCER SA DE CV","26020142231","GUAYMAS","1980","ACERO","HIELO","ARRASTRE","VIDEOSONDA","COMERCIAL","23","6","0","2","0","1","1","0",425,425,10.8582506253683
"10","2604011409","GEOMAR PESQUERA SA DE CV","00023226","GEOMAR4","2604011409","GEOMAR PESQUERA SA DE CV","26020220235","GUAYMAS","1974","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","22.2","6","0","2","0","1","1","1",425,425,10.8582506253683
"11","2604008322","PESQUERA CASTA, S.A. DE C.V.","00022475","COCORIT","2604008322","PESQUERA CASTA, S.A. DE C.V.","2602022123-7","GUAYMAS","1979","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","22.05","6.2","3.1","4","121.67","1","1","1",450,450,10.8801545575481
"12","2604009775","PESQUERA BACOCHIBAMPO, S.A. DE C.V.","00024182","DAGIO","2604009775","PESQUERA BACOCHIBAMPO, S.A. DE C.V.","26020302238","GUAYMAS","1981","ACERO","CONGELACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","21.05","6.17","3.14","3","62.2","1","1","4",425,425,10.8582506253683
"13","2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","00024711","L7","2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","26020360236","GUAYMAS","1979","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","21.94","6.04","3.5","3","28","1","1","0",425,425,10.8582506253683
"14","2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","00024067","SELECTA16","2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","26020367233","GUAYMAS","1978","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","22.26","6.04","3.5","3","25","1","1","0",365,365,10.8055722873817
"15","2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","00023762","CHUYITO5","2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","26020438233","GUAYMAS","1979","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","21.94","6.04","3.5","3","24","1","1","0",425,425,10.8582506253683
"16","2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","00023515","CHUYITO21","2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","26020454235","GUAYMAS","1979","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","19.4","5.84","2.92","3","24","1","1","0",425,425,10.8582506253683
"17","2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","00023770","CHUYITO6","2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","26020460235","GUAYMAS","1979","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","21.94","6.04","3.5","3","24","1","1","0",425,425,10.8582506253683
"18","2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","00023739","CHUYITO3","2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","26020464238","GUAYMAS","1979","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","21.94","6.04","3.5","3","23","1","1","0",425,425,10.8582506253683
"19","2604011300","PESQUERA NUEVA SA DE CV","00041434","CHUYITO25","2604011300","PESQUERA NUEVA SA DE CV","26020466233","GUAYMAS","1983","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","25.04","6.2","3.25","4","26","1","1","0",550,550,10.9675033726524
"20","2604011300","PESQUERA NUEVA SA DE CV","00023788","CHUYITO7","2604011300","PESQUERA NUEVA SA DE CV","26020467236","GUAYMAS","1979","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","21.94","6.04","3.05","3","26","1","1","0",565,550,10.9805688608392
